title,author,genre,tag index,age,lesson
해와 바람,이솝 우화,fable,3,6.5,wisdom
커다란 순무,이솝 우화,tradtional fairy tale,"14, 8",6.5,"diligence, family"
삼년고개,작자 미상,tradtional fairy tale,3,4.5,wisdom
사자와 생쥐,이솝 우화,fable,"7, 11",6.5,"goodness, friendship"
도깨비 방망이,작자 미상,tradtional fairy tale,"10, 3",6.5,"kindness, wisdom"
요술항아리,작자 미상,tradtional fairy tale,"14, 10",5.5,"diligence, kindness"
우렁각시,작자 미상,tradtional fairy tale,"7, 10",6.5,"goodness, kindness"
소가 된 게으름뱅이,작자 미상,tradtional fairy tale,14,7.5,diligence
요술 맷돌,작자 미상,picture book,10,5.5,kindness
곰과 두 친구 ,이솝 우화,fable,"3, 11",4.5,"wisdom, friendship"
소금장수와 당나귀,이솝 우화,fable,"10, 14",4.5,"kindness, diligence"
도깨비 감투,작자 미상,tradtional fairy tale,10,4.5,kindness
개와 고양이,이솝 우화,tradtional fairy tale,"10, 3",6.5,"kindness, wisdom"
라이트 형제,-,biography,"3, 5, 14, 16",8.5,"wisdom, courage, diligence, creativity"
스티브잡스,-,biography,"3, 14, 16",8.5,"wisdom, diligence, creativity"
오성과 한음,-,biography,"11, 3",6.5,"friendship, wisdom"
나이팅게일,-,biography,"1, 7",8.5,"love, goodness "
스티븐호킹,-,biography,"3, 14, 5, 16",8.5,"wisdom, diligence, courage, creativity"
방정환,-,biography,"1, 8",8.5,"love, family"
페스탈로치,-,biography,"1, 8",6.5,"love, family"
칭키즈 칸,-,biography,5,6.5,courage
이태석,-,biography,"1, 10",6.5,"love, kindness"
주시경,-,biography,3,8.5,wisdom
조앤 롤링,-,biography,"14, 5, 3",7.5,"diligence, courage, wisdom"
황금을 버린 형제,작자 미상,picture book,"8, 1, 10",6.7,"family, love, kindness"
링컨,-,biography,"3, 14, 1",6.5,"wisdom, diligence, love"
윈스턴 처칠,-,biography,"5, 3",8.5,"courage, wisdom"
효성스런 호랑이,작자 미상,tradtional fairy tale,"1, 8, 10",4.5,"love, family, kindness"
마더 테레사 ,-,biography,"1, 10, 17",6.5,"love, kindness, devotion"
아이작 뉴턴,-,biography,"3, 14, 16",7.5,"wisdom, diligence, creativity"
